Event,Key,Team Number,Search Qualifier ,Team Name,Photo,Drive Train,One Word,Pit Scouting Notes,Average Score,Average Score Percentile,Percent of Alliance Score,Average Game Pieces Scored,Average Cones Scored,Average Cubes Scored,Average Auto Game Pieces Scored,Average Auto Cone Score,Average Auto Cube Score,Average Auto Cones ,Average Auto Cubes,Average Tele Game Pieces Scored,Average Tele Cone Score,Average tele Cube Score,Average Tele Cones,Average Tele Cubes,Mobility Percentage ,Auto Engaged Percentage ,Average Auto Score,Average Tele Score,Average Endgame Score,Total Whiffs auto,Total Docks Auto,Total Engages Auto,Total Whiffs Teleop,Total Parks Teleop,Total Docks Telop,Total Engages Teleop,Cycle Time,Preload Type,Cone/Cube Prefrence ,Buddy Climb,Focus Areas,Average Links,Avg total charge,Avg Auto Charge,Avg Tele Charge,Avg Rank Points,Calculated Average Score,Width,Mark
2023micmp2,frc5843,5843,2023micmp2-5843,Flurb,Pit Scouting_Images/67bd94fd.Picture.161026.jpg,Swerve,Googly-eyes,,39.44,0.18,31.04%,4.83,3.92,0.92,0.92,5.50,0.00,0.92,0.00,3.92,10.5,3.67,3,0.92,91.67%,0.00%,12.86,14.17,9.67,12,0,0,0,0,1,11,34.44s,Cone,Neither,,,1.47,4.83,0,9.7,2.50,39.44,28.00,
2023micmp2,frc6081,6081,2023micmp2-6081,Digital Dislocators,Pit Scouting_Images/3b5a787a.Picture.151644.jpg,Swerve,Fast,Good auto,44.69,0.26,32.24%,6.33,3.92,2.42,0.92,3.75,1.00,0.67,0.25,5.42,13,7.75,3.25,2.17,66.67%,0.00%,13.61,20.75,8.33,11,1,0,0,2,1,9,24.91s,Cone,Cube,,,1.64,4.50,0.6666666667,8.3,2.67,44.69,29.50,
2023micmp2,frc6090,6090,2023micmp2-6090,Wayland Wildcats,Pit Scouting_Images/6d272515.Picture.201010.jpg,Swerve,Small'n'fast,"- Really good at balancing (narrow) 
- Uses double substation
- Versatile, can pick up from ground and from station (both pieces), but prefer substation cone as it is faster",51.47,0.79,33.73%,7.33,5.75,1.58,1.25,5.33,1.75,0.92,0.33,6.08,16.42,4.5,4.83,1.25,91.67%,33.00%,20.64,20.92,7.17,7,1,4,1,2,2,7,22.2s,Cone,Cone ,,,1.78,5.92,4.666666667,7.2,3.42,51.47,28.00,
2023micmp2,frc6152,6152,2023micmp2-6152,Robo-Falcons,,,,,29.70,0.08,25.97%,2.92,1.33,1.58,0.92,4.00,1.50,0.67,0.25,2,2.75,5,0.67,1.33,100.00%,0.00%,12.17,7.75,8.17,12,0,0,1,1,1,9,67.5s,,,,,1.33,4.08,0,8.2,2.25,31.08,,
2023micmp2,frc68,68,2023micmp2-68,Truck Town Thunder,Pit Scouting_Images/d1a10ae0.Picture.201004.jpg,Swerve,Screech,,46.51,0.54,34.69%,6.62,1.38,5.23,1.38,5.31,2.54,0.92,0.46,5.23,1.85,14.31,0.46,4.77,100.00%,31.00%,18.59,16.15,8.77,9,0,4,0,2,0,11,25.81s,Cone,Cube,,,1.41,6.23,3.692307692,8.8,2.15,46.51,26.25,
2023micmp2,frc7054,7054,2023micmp2-7054,SC Sailors,Pit Scouting_Images/2386012f.Picture.151101.jpg,Swerve,Carbon,,41.00,0.64,31.38%,3.45,2.36,1.09,1.00,0.55,5.18,0.09,0.91,2.45,8.91,0.36,2.27,0.18,100.00%,45.00%,19.45,9.27,9.27,4,2,5,0,1,0,10,55.1s,Cube,Neither,,,1.36,8.09,6.909090909,9.3,2.91,41.00,32.00,
2023micmp2,frc7056,7056,2023micmp2-7056,The F.A.S.T. Team - Fowlerville Area Scientific Technicians,Pit Scouting_Images/d9320356.Picture.184704.jpg,Swerve,Light,Really light,47.45,0.77,35.41%,4.5,3.58,0.92,0.92,5.25,0.00,0.92,0.00,3.58,11,3.5,2.67,0.92,100.00%,67.00%,20.61,14.5,9.33,4,0,8,0,1,0,11,37.71s,Cone,Neither,,,1.47,8.67,8,9.3,2.58,47.44,29.00,
2023micmp2,frc7166,7166,2023micmp2-7166,Red Thunder Robotics,Pit Scouting_Images/36cdd9fc.Picture.203045.jpg,Swerve,Giraffe,"2 piece auto, can balence, can triple climb, has to be on tve outside for it",39.15,0.41,27.87%,4.73,2.82,1.91,1.27,0.27,5.55,0.09,1.18,3.45,10,2.36,2.73,0.73,72.73%,27.00%,16.97,12.36,7.64,8,0,3,1,2,0,8,39.13s,Cube,Cone ,,,1.58,5.45,3.272727273,7.6,2.55,39.15,35.00,
2023micmp2,frc7220,7220,2023micmp2-7220,Steel Falcons,Pit Scouting_Images/6b1eb72d.Picture.151634.jpg,Swerve,Hefty,Arm can turn to opposite side,44.44,0.72,32.82%,4.75,3.00,1.75,1.00,0.50,5.50,0.08,0.92,3.75,11.58,2.92,2.92,0.83,91.67%,42.00%,19.86,14.5,7.33,6,1,5,2,1,1,8,36s,No Preference ,Cone ,,,1.64,6.50,5.666666667,7.3,2.58,44.44,32.00,
2023micmp2,frc7790,7790,2023micmp2-7790,Baywatch Robotics,Pit Scouting_Images/18d8632c.Picture.200105.jpg,Swerve,Beast,"- 124.5 lbs
- Both pieces are possible thanks to auto
Triple-balance lock wheels
- 85% automated (including auto piece detection, April Tag detection, etc.)",40.51,0.44,30.53%,5.08,2.85,2.23,1.15,1.62,4.92,0.31,0.85,3.92,9.92,5.15,2.54,1.38,69.23%,31.00%,17.67,15.08,5.69,9,0,4,2,4,1,6,34.44s,Cube,Neither,,,1.49,4.69,3.692307692,5.7,2.38,40.51,36.00,
